,ticker,score,compound,bearish,neutral,bullish,mentions,2_week_returns
0,SNDL,26.74949779027722,0.0604498593812778,0.06347870630775418,0.8429154278826824,0.09360224989955797,4978,65.38462420187085
1,PLTR,18.45990376904571,0.06103384121892549,0.07248275862068965,0.8330232558139539,0.09448797113071368,2494,-12.701484448468204
2,TLRY,20.381099126861837,0.09206753980482793,0.06074011299435031,0.8440220852593735,0.0952424242424243,1947,34.14219044661109
3,APHA,20.911311736590548,0.09541667551779083,0.05818215613382902,0.8476579925650563,0.09416144450345179,1883,39.823615538551024
4,TSLA,47.635103926096996,0.04803071593533484,0.07893533487297925,0.8357921478060045,0.08527020785219405,866,-8.551880233774046
5,ON,107.00411522633745,-0.022861522633744844,0.0903065843621399,0.8368251028806578,0.07286831275720168,486,11.478978377446136
6,OR,14.700680272108844,-0.02969501133786845,0.3111904761904765,0.39475283446712045,0.29399546485260764,441,-0.4444461398654509
7,AAPL,28.216957605985037,0.02289301745635911,0.1102169576059851,0.7982743142144633,0.09151122194513715,401,-2.929471370650716
8,ZOM,11.721763085399449,0.10497933884297525,0.040564738292011016,0.8612506887052342,0.09817355371900827,363,114.81480009761916
9,CRSR,15.90027700831025,0.02229584487534627,0.09703878116343494,0.8094903047091421,0.0934681440443213,361,5.85008568871872
10,HE,32.481049562682216,0.2660379008746353,0.023355685131195337,0.6977346938775498,0.2789154518950437,343,3.218110763299742
11,AMD,43.516616314199396,0.0831480362537765,0.0856827794561933,0.8259697885196376,0.08833836858006043,331,1.2153970556341376
12,ARE,34.238853503184714,0.0004834394904458713,0.1000509554140127,0.8042038216560508,0.09574203821656052,314,1.8262604610838062
